No;IPKM;X1;X2;X3;X4;X5;X6;X7
145;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
146;High;>=0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
147;High;<0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
148;High;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
149;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
150;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
151;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
152;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
153;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;>=0,7950
154;High;>=0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;>=0,7950
155;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
156;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
157;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
158;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
159;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
160;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
161;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
162;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
163;High;>=0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;>=0,7950
164;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
165;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
166;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
167;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
168;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
169;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
170;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
171;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
172;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
173;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
174;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
175;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
176;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
177;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
178;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
179;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
180;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
181;High;>=0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
182;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
183;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
184;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
185;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
186;High;<0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
187;High;<0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
188;High;<0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
189;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
190;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
191;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
192;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
193;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
194;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
195;High;<0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
196;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
197;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
198;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
199;High;<0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
200;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
201;High;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
202;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
203;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;>=0,4496;>=0,8796;>=0,7950
204;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
205;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
206;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
207;High;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
208;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
209;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
210;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
211;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
212;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
213;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
214;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
215;High;>=0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
216;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
217;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
218;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
219;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
220;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
221;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
222;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
223;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;>=0,7950
224;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
225;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
226;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
227;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
228;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
229;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;>=0,7950
230;High;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
231;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
232;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
233;High;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;>=0,7950
234;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;>=0,4496;<0,8796;>=0,7950
235;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
236;High;>=0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
237;High;>=0,6464;<0,5763;>=0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
238;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
239;High;>=0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
240;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;>=0,8796;>=0,7950
241;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
242;Low;<0,6464;<0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
243;Low;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;<0,7950
244;Low;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
245;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
246;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
247;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
248;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
249;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
250;Low;>=0,6464;>=0,5763;>=0,4398;<0,4740;<0,4496;<0,8796;>=0,7950
251;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
252;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
253;Low;<0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
254;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
255;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
256;Low;>=0,6464;<0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;>=0,7950
257;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
258;Low;>=0,6464;<0,5763;<0,4398;>=0,4740;>=0,4496;>=0,8796;<0,7950
259;Low;>=0,6464;>=0,5763;>=0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
260;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
261;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
262;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
263;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
264;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
265;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
266;Low;<0,6464;>=0,5763;>=0,4398;>=0,4740;<0,4496;<0,8796;<0,7950
267;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;>=0,8796;<0,7950
268;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;<0,8796;<0,7950
269;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
270;Low;>=0,6464;>=0,5763;<0,4398;<0,4740;<0,4496;<0,8796;<0,7950
271;Low;>=0,6464;<0,5763;>=0,4398;>=0,4740;<0,4496;>=0,8796;>=0,7950
272;Low;<0,6464;>=0,5763;<0,4398;>=0,4740;>=0,4496;<0,8796;<0,7950
273;Low;<0,6464;<0,5763;<0,4398;<0,4740;>=0,4496;>=0,8796;<0,7950
